Participant,Worker,Overall,RecommendHiring,Colleague,Engaged,Excited,EyeContact,Smiled,SpeakingRate,NoFillers,Friendly,Paused,EngagingTone,StructuredAnswers,Calm,NotStressed,Focused,Authentic,NotAwkward,Total
p1,A1ITBXITLY2952,5.0,5.0,6.0,6.0,5.0,5.0,4.0,4.0,2.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,93.0
p1,A1OLRUT93TXWEP,6.0,6.0,7.0,5.0,4.0,6.0,5.0,5.0,2.0,5.0,7.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,99.0
p1,A1ZQ7A1CUV6RD8,6.0,6.0,3.0,7.0,6.0,7.0,4.0,3.5,3.0,4.0,6.0,6.0,3.0,7.0,7.0,6.0,7.0,6.0,97.5
p1,A2F7D8EOTB663,6.0,5.0,6.0,7.0,5.0,7.0,4.0,5.0,6.0,5.0,7.0,5.0,5.0,7.0,7.0,7.0,6.0,5.0,105.0
p1,A323WW03VM8089,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.25,3.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,71.25
p1,A34M93NJC830DP,5.0,5.0,4.0,5.0,5.0,6.0,3.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,89.0
p1,ABM77ZQWCHPNX,4.0,4.0,4.0,4.0,5.0,6.0,6.0,5.25,3.0,6.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,4.0,87.25
p1,ANUXUJE8QRE0C,7.0,7.0,7.0,7.0,7.0,5.0,1.0,7.0,5.0,6.0,7.0,5.0,6.0,5.0,4.0,6.0,6.0,6.0,104.0
p1,ARX0S1CIDJLOX,5.0,4.0,5.0,5.0,6.0,7.0,1.0,7.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,6.0,6.0,4.0,83.0
p1,AGGR,5.29731562336,5.10622414048,5.33300424956,5.54137978101,5.04389015411,5.86611859187,3.57615974017,4.86558979541,3.77166473066,5.25478355985,5.80046790524,5.14790937729,4.89158004615,5.35107543307,5.35075959402,5.84522637357,5.61051274415,5.47753366771,93.1311955077
p3,A1ITBXITLY2952,5.0,5.0,6.0,6.0,6.0,4.0,7.0,4.0,3.0,7.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,97.0
p3,A1OLRUT93TXWEP,5.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,4.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,7.0,4.0,96.0
p3,A1ZQ7A1CUV6RD8,4.0,3.0,5.0,6.0,6.0,5.0,4.0,3.5,1.0,7.0,3.0,6.0,2.0,5.0,7.0,6.0,7.0,5.0,85.5
p3,A2F7D8EOTB663,5.0,5.0,5.0,6.0,6.0,6.0,7.0,5.0,6.0,7.0,5.0,7.0,3.0,5.0,7.0,6.0,6.0,7.0,104.0
p3,A323WW03VM8089,2.0,2.0,4.0,5.0,6.0,4.0,2.0,7.0,3.0,7.0,3.0,4.0,2.0,2.0,2.0,4.0,6.0,1.0,66.0
p3,A34M93NJC830DP,4.0,4.0,4.0,5.0,4.0,5.0,6.0,4.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,5.0,84.0
p3,ABM77ZQWCHPNX,3.0,3.0,4.0,3.0,5.0,6.0,6.0,7.0,3.0,5.0,6.0,5.0,4.0,7.0,7.0,3.0,5.0,7.0,89.0
p3,ANUXUJE8QRE0C,5.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,1.0,7.0,6.0,6.0,4.0,5.0,6.0,7.0,5.0,5.0,103.0
p3,ARX0S1CIDJLOX,5.0,5.0,4.0,6.0,6.0,6.0,7.0,6.0,4.0,7.0,6.0,7.0,3.0,4.0,5.0,6.0,5.0,5.0,97.0
p3,AGGR,4.41489217175,4.43306990037,5.01043000317,5.61607593418,5.60158567429,5.42686147714,6.06217275172,5.01628608696,3.33245849049,6.50032877227,4.79154954828,5.62123092399,3.9121988684,4.47653726578,5.52121455482,5.54982872237,6.01496032424,4.92355043543,92.2252319056
p4,A1ITBXITLY2952,5.0,5.0,5.0,6.0,4.0,4.0,6.0,3.0,2.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,4.0,87.0
