,sentence,structured_val,structured_bool
p1,im pretty good ok  uhm  so have you looked at my resume or should i  alright  so i guess ah  i am course 67 here at mit  ah which is computational biology  so its a mix of computers  science and biology and actually thats where my interest lie in applying like algorithmic kinda software engineering too datasets dealing with genomics and biology  uhm some of that activities that you do out side of school  include camp kesem which is a summer camp that we run for completely free for kids whose parents have cancer  as well as ah amphibious achievement  which is ah a high school tutoring program for inner city kids in boston   so ah  my interest kinda laid both in a little bit of the health care  i imagined i was going be a doctor growing up  and then it came down to the tee and im like  well i can do engineering and still apply and do the same things and help a lot more people ok  uhm  one of the things we have to do for camp kesem is orgin or fundraise all the money to ah  to  run the camp which is over 50 00000  ah so one of the things that i individually spearhead every year is called the camp kesem i say you did auction  where actually my fraternity and i go out and solicit uhm  donations in the form of gift cards  ah to raise money for a date auction where we actually sell dates  and then we use this money obviously we donate it to camp kesem i spearhead the entire event and i kinda orginize everyone into committees and groups  and i send the people out and make sure everything goes according to plan    ahh  i guess the easiest team project i just i just had  was  last semester  uhm i worked on this six double o five project which is algorithm or software architecture and we were put in a group of 3 people  and it was standard you know we signed the contract everyone is supposed to work equally  but it ended up being by the end of it  that someone didnt like put there fair share of work inah essentially we talked to him we didnt really get it out  we actually had to go to some of the tas we got a little bit ah  and that kinda like pushed him forward  so i mean i guess what i am showing is like  im not affraid to go to the right method or like authority like where in cases this situation presents itself    uhmmm  i would say for this job  ah im a little technically underprepared  ah ive yet  i have only taken the introductory software classes so far and as well as introductory bio classes  but i think just from sheer interest and sheer effort i will be able to kinda overcome these obstacles  ah  im very interested  in the subject of computation biology  and i think that i will be able to contribute a lot to this field  uhm ive had a good amount of experience and i think i will be a solid intern ,4.89158004615,1
p10,great  how about you im a little  by the resurgence of the hurricane  but yeah  we were half way here and it just turned on a switch  lightening  winds and everything so yeah okay  um  im a junior here at mit  um  im studying aerospace engineering  um  my  my interests are generally in food mechanics  control  um  design  um  mostly aircraft  but protozoan  problems in general um  i like to  um  i like to play music  listen to music  um  i run  do some other team sports  i like to play hockey  um  okay  so  uh  one of the projects that ive worked on since coming to mit  um  was during my freshman year  i worked in the  in the uh  artificial intelligence group in  uh  cesil sp  which is a lab  a computer science lab here at mit and  um  i was working on a project with another student  actually another freshman  uh  basically we were tasked with the  sort of  bringing this project  starting this project  bring it up to the level where it could be presented at conference  um  together  and we were kind of left  to work out the cooperation on our own and um   there was  um  as the conference got closer  about halfway  um  about halfway through the year freshman year  ah  there were a bunch of issues that we had with um  with um  basically meeting the expectations that had been set before us in terms of what we were going to present um  and finishing in a timely basis and it came down to whether we were really going to be able to  and there were other basically  parts  other peoples work in the same group where work depended on us finishing in time  so it really  um  really  we had to make a decision weather we were just going to basically get done what we could  but to the quality standard that  the standard of quality that was expected of us  or to um  try to finish everything and to have other peoples work potentially suffer because of our  hadnt really been up to snuff and  um  and so  we kind of had a little bit of a disagreement about this  but what ended up happening was  um  i went and talked to the professor and um  sort of decided to um  make them aware of what was happening  because they werent really aware that we had fallen behind and  um  sort of got the other student on board  who had disagreed with me  uh to do this  uh  and to let everyone else know what was going on  and uh  we ended up presenting a lot less than what was originally expected  but  um  i think it was very much for the better  okay  um  so  another  another thing that i spend a lot of my time doing is called  is an organization called design  build  fly here  um  its  its a design competition um  run by the iaa  which is an aerospace professional organization  and um   and uh  you can enter a team from any university or group  basically anywhere in the world its mostly us university though and  um  these university teams basically build a plane  um  design it  build it  fly it as the competition name suggests and you compete them all at the end of the year  compete against the other universities at the end of the year at one competition basically  um  last year we had  uh  a design challenge  it was pretty unique  um  and um  so  ill take that as our challenge  um  so we basically had a year to solve this  um  and i was head of one of the subgroups last year  the actual design subgroup  and um  i mean  we approached in a methodical way  just like i think thats the best way to solve most problems  um  got input from every team member  um  and um  basically  um  looked at  looked at all our possibilities  um   and um we ran the numbers  ultimately  like i think thats the best way to solve most problems we ended up with um  a design that got the best overall score on the basis of just  basically incorporating  um  every team members input okay  um  so one of my  i think definitely since coming here  ive noticed that one of my biggest weaknesses is written communication um  i really was not intimidated by the thought of it in high school  but i um  definitely since coming here  i find that perhaps um at the expense of technical skills  my written communication skills have atrophied  maybe is the right word and  um  so i definitely  i think im um  pretty aware of this and um  and um i would definitely like to improve it and um so what im going to do is try to force myself whenever im writing papers or taking reports for  whether it be for research or for classes  just to go through the proper revision cycle  force myself to make sure that im actually being  um  that im being succinct in what im saying  have other people reading give me feedback okay  um  i  um  i mean  i think  i dont know what this position that it is yeah  sure  but if i knew that this position was  i think that i would want it because um  this is really what i thrive off of i  um  enjoy doing it  um  and i would be excited to come to work every day to do it um  which  um  thats like the biggest thing for me i um  i would be excited to come do it and i know i would put my  you know  put my all into doing a good job at it  because i would be excited to come do it and  um  i think that um  i have a decent skill set to do this and i think that im qualified to contribute in this area ,3.57596013125,0
p11,uhh  im a junior at mit  uhh im double majoring in management and biology  er  im very interested in the world of finance  uh  business  consulting all of those sorts of things um  so ive tried to take on different leadership roles that would prepare me for uh  those sort of roles in the business world outside of school  i enjoy running  crosscountry and track  im on the varsity team at mit and umm  im also very involved in greek life at mit  so im on the panhellenic executive board as vice president of programming  and also hold a leadership position in my sorority  umm  so i think this past year  my biggest priority has been my position as vice president of programming for panhellenic and umm  just in that position  uhh  i hold a leadership role on the exec board we have weekly meetings  im charge of putting together our programming calendar for our entire year so i have interface with a lot of mit faculty and bring together the exec board as a whole and the different sororities uhh  to meet and attend different events and i think to put together all these events im working together with different people on campus i have to show leadership and show strong communication skills  umm  so i guess this past semester actually  im associate advisor for umm  freshmen and i work with my freshmen advisor as well and another associate advisor  and er   the three of us were trying to come up with an event to host for the freshman and i think we all  er  were very uhh  set on our ideas so having to full time communicate and work on an idea that could bring all our thoughts and goals together  um  so we had to work together to formulate some sort of event that would satisfy each of our different goals and that was difficult at first  cause we had just met each other and it was difficult to understand where the other people were coming from but after that  and after communicating what our main goals for the event for would be  we eventually figured out what we wanted to do  uhh  yeah so  we had  we were trying to communicate via email at first  so i think that was  uhh inefficient  especially since we had only met in a group once before  umm so meeting in person and really  trying to outline not just like   what the event was going to be  what our purpose of the event was going to be  and what we trying to communicate with the freshmen i think by boiling down to what our purpose was for the event  we were able to build it up from there  umm  so i think one of my weaknesses is public speaking  actually  and uhh  i think by taking a variety of classes  especially this one class that im in  that focuses on management and communication  ive been kind of thrown into positions where i have to give impromptu speeches  uhh  and debate my point in different arguments and i think that the practice is helping me a lot and it allows me to become more comfortable and more confident in what im saying  which i think helps me in the long run like public speaking in general i think ive been able to build up my confidence and know like  how to structure my speeches and interviews and impromptus better  uhh  i think my different leadership positions as well as my academic experience  umm would allow me to perform well on the job i think  ive worked umm  both individually in a project as well as in a teamfocused environment  which umm  i think is key for consulting and investment banking positions i also feel that my mit background  uh  the quantitative analysis that ive done in classes  as well as my internship experiences would help perform well on the job as well  so ,4.81446592015,1
p12,im good  how are you ok  so  im a junior at mit majoring in mechanical engineering uh my focus is in uh robotics and product design uh im originally from seattle  washington ummm im really interested in a combination of robotics and like psychology  phased in so artificial intelligence  or that vein of thinking um im also  i do a little bit of theater on the side so  considering doing some sort of combination its a wide range of interests so im trying to figure out a way to uh put in a lot of it into one thing but  yeah mmhmm yeah  ok so  um  in high school i was a life guard and thats  it was a great job but it was a lot of working with other lifeguards in kind of in a  a team situation um  and a lot of the times one person would have to step up in order to be a leader with you know uh like swi  like we taught swim lessons and i would have a partner with me and wed both be teaching the same kids and  id have to  you know  tell them what to do  or tell them what exactly we were going to do during that class that sort of stuff ok ummm  not going to use the lifeguard example again uhhhh in high school we would have to work on team projects a lot  ummm i dont know in history class or that kind of a thing  work  working with projects and sometimes wed have kids who wouldnt do their home do  you know their part on time  or people who didnt like they  what they were doing there was one specific time where we had a conflict where one girl just decided she didnt really want to do you know any of the  any of the project  she wasnt really showing up to class  wasnt doing any of the  any of the stuff she had to so we had to talk to her  and figure out what was going on and kind of resolve the conflict in that way in what way like  yeah so i mean us as a group we met with the teacher umm and told her what was happening and then  the next  the next day when the girl came to class we  you know sat her down  asked her why she wasnt doing the homework whatever  that kind of stuff but it was  it was just a case of high school kids not wanting to do anything so laughs ok ummm  i have a really bad habit of trying to do everything all at once  and i sometimes put too much on my plate and i recognize that you have to delegate tasks in a group or tell someone when theyve given you too much to do so i think its kind of  in terms of how im trying to improve that  is be realistic with myself on the amount of time i have or what my skills are and if i need help ask for it or if i need someone to do part of it  ask for it and early on  not the day before something has to be done  tell them that its not going to happen ummmm i think you should hire me because your company  ummm is a great  would be a great opportunity for me to learn and improve as an engineer umm and i think i could just add a lot to the team in general in terms of like  like my wide interests  and  and education background ,4.3189479661,0
p13,good ok  umm  im currently a junior at mit studying electrical engineering and computer science umm  i first became interested in engineering in high school  i guess  when i worked in a lab at  a material science lab  at uc berkley umm  and since then ive worked at a variety of different places including labs and at  uh  and in the industry including electrical engineering labs here  and at standford  and umm promex industries  which is a chip packaging company in the silicon valley umm  in high school i was part of the school orchestra and i played bassoon i was the principle bassoon there so  that means i was in charge of the bassoon section so basically  umm  i ran extra  i ran practices for  within our section outside of  uh   when the orchestra would get together and practice i coordinated that i also  uh  set up events between the woodwind sections to  uh you know  so people would get to know each other and  you know  we could practice together and things like that umm  this past summer i worked in spain umm  in operations research and i was part of a research group there umm  it was  so  we had  uh  within our team  it was  communicating with each other was the biggest challenge because my spanish isnt so great and their english wasnt so great so  umm  what we ended  we basically communicated through like  the papers  through the papers we read  umm  we  well  one thing that helped was  we both got  like everyone  they got better at speaking english  i got better at understanding them i guess they got better at understanding my spanish also so  we were able to communicate by just  you know  talking really slowly  repeating everything a couple times umm  we also did a lot of technical things and so those were mostly related to technical papers and things like that those were written mostly in english  so that was  that wasnt so much of a problem for mebutit made it  because they were working in the area already and i was new to the area  looking through these made it easier for me to understand what my role was  what i was supposed to do umm  things like that umm  well  one thing right now is that i can get really hung up on small details and  uh  it becomes a problem because its  it can be distracting and cause me to lose sight of  like  the big picture but since coming to mit ive been  ive been involved in a lot of classes  a lot of activites and things and thats forced me to manage my time better  so  now that  uh  like  i have  because i have a lot of time constraints  im forced to finish a project or assignment or whatever  and i cant  i cant get caught up in  like  little things that dont ultimately make a big a difference so  um  by being forced to manage my time more  im  uh  overcoming this problem well  i have the  i have the quantitative and qualitative skills necessary to accomplish  uh  accomplish project goals and get things done uh  i can solve problems and  and can work pretty well in a team im also very interested in what this company does  and  um  id really like to work there ,4.91606339181,1
p14,good  how are you im a student at mit and im a junior right now but im probably gonna graduate this year  so  uh  thats kind of exciting at scary at the same time  uh  like i said im a computer science major so some of the stuff that im interested in is computational photography and a lot of graphic stuff  ive got a bunch of experience with web development mainly  uh front end development so thats uh  i guess where a lot of my experience lies   um  so i was  a member of the society of women engineers and with the graduate students association of mit and the senior class  they run the fall career fair which is the only career fair in the fall and its the biggest at mit  i was actually the publicity chair for that  so  it involves you know  interfacing  you know  with over 230 companies and dealing with not only making the guide book and making sure all of the information is readily available to students but also publicizing individual info sessions and obviously the career fair itself  so  um  it definitely was a lot of responsibility and not only did i have to become a leader for the society of women engineers but also fora leader for this smaller team of seven people that ran the career fair itself    well  iso  for one of my classes  we have to  its a software design class where you have to work with other students  so  i was assigned two teammates randomly and we had one teammate who really wasnt pulling their weight and wasnt contributing in a way that was you know  fair and even  and so what we ended up doing is  we all thankfully were able to sit down and talk  we were able to get a hold of her and we realized it was because we were dividing the work in a way that made it really difficult for her  it was not playing off her strengths  so  we redistributed the work and she was able to do things that were still helpful but played more to her strengths    um  i think one of my weaknesses is im a perfectionist so when i do work on teams i have trouble sometimes delegating tasks because i want to micromanage and make sure everything is just the way it is  but what ive done to overcome that is basically just sort of familiarized myself with how to um  like  say no to a task and just kind of  i guess  modualize sic projects more  so  i think i had trouble when i was always thinking big picture and then i would want to look at every single detail i that big picture  but if i just give myself one part of the project and just  you know  divide it into different modules in my head then im able to just  you know  perfect my one part but not so much focus on every little detail uh  i think that my skill set is pretty unique because im both technical and also wellspoken and id be able to communicate really well  and i think its a unique combination to have both of those skills ,5.67303503772,1
p15,im doing fine uh  thank you how about you um  have you like you know um  the storm  i hope that hasnt like disturbed any power too much  oh yeah i mean boston didnt get hit too bad so  thats at least very fortunate  um  okay so im a current junior at mit  im studying biological engineering um  so its some  some of the things i do on campus um  im really involved in um  mit met life so im  im secretary of the club and i go to the meetings um  and um  part of my roles like help you know organize groups where um  poster sessions and information sessions just like spread the word of met life on campus um  and thats um  sort of helps me like explore like it has really gotten me more interested in a field of like healthcare um  that plus like my um  my studies um  im also involved in chinese student club escort culture so i do a lot of you know pudding on campus for um  events like night market which i worked  i helped organize just last week so um  it that sort of helps me with communication  my communication skills you know talking to the officers of other student clubs  okay so um  last um  uh  this past summer i worked in a research lab in bangkok and it was the first time that i had ever been outside of you know the united states for an extended period of time  and one of my assignments was to you know sort of lead uh  sort of like drive the direction of like a research project that they were doing  which was to research um  a generic um  in hopes of releasing it to the market  um  sometime in the future because i had  i was partnered up with some a lab partner that was less experienced than i was um  i found myself in many situations having to help guide her along and getting up to speed with the project and the techniques that we needed to do our experiments  um  it was  it was a little bit of a strange dynamic because she was older than me because she was an incoming graduate student  but she did not have much research like lab experience so i had to balance like being informative without making it seem like this  like she was in some ways my superior so that was like an um  i had  i had to like teach her the techniques you know coming off as like oh i know more than you do  um  but what i found was what worked for both of us was that um i would like explain it to her before we were in the lab which helped cut down a lot of the frustration that came up if like she had to ask me questions like every  like between like every set so thats um  thats probably the one way i showed leadership  okay so the  a couple um  ips i worked for a start up um  they were a green billing research directory  online and i worked for my fellow exterior on helping to market this  the use of this directory to the clients um  so we had to  it was a little bit difficult because we had to like  we had to cold call like people and getting over the initial awkwardness of what its like to talk to somebody youve never met or seen before and trying to like pitch an idea to them  and be like oh theres this really great resource and youve signed up for it but weve noticed that you like hadnt used it  um  are there things that like you feel would make it better um  things that you would like to see that you think would make it more effective  and um  we both had to sort of like teach ourselves how to talk to like the  the reps that were calling and we would um  strategize what worked  what didnt  what had people respond and what didnt  and and by like documenting it all down also so that we could leave like a record of what worked for maybe someone else was to found so um  eventually we actually got like a system like a way we would structure the questions and ask them that word and like list like a couple response  okay um  so something so a weakness that i found um  and im still like working to try to like overcome it is i tend to be long winded in explaining things um  its hard for me to take something that im thinking about and communicating it um  concisely um  the first time around  because i feel like i always leave something out after i finish saying it so i tend to go back and elaborate  and then while im thinking about it still ill like talk more about whats coming to mind  um  its something that ive been working on by siding it for things like this  and by trying to take up a more prominent role in like the  in like the clubs im in and like trying to you know participate more actively in the classes um  trying to as much as i can to go to um  lab presentations for my year off and speaking in front of audiences to try to um  make myself less long winded and more precise  um  i think that i can bring i dont know like something  different a new perspective to the table especially coming from mit um  having had like a very quantitative background  um  and given that ive had like extensive experience um  in research um  and my leadership activities on campus  i think that i can bring both the technical skills and um  a way to effectively  hopefully communicate to um  communicate my ideas and bring like a different sort of perspective to your company and im hardworking um  and i always wanna make sure i will do a good job and detail oriented  and um  i just love working with other people on like projects that excite me so um  thats something that i come from inaudible that flatters me is working with people elaborating and thats um  definitely a skill that i can bring to your company so thank you for your time  ,3.90089704833,0
p16,very good  how are you yea  um so i am junior here at mit ummm studying economics as well as urban planning and within those departments i am really trying to focus on international development ummm and because i am interested in either after school going in to either like public health or umm public policy type areas but both focusing on international development ummm yea  thats a little bit im from right outside of philadelphia  ummm and i am the uh  second youngest of 3   uh sure  ummm so currently i am actually the co president of an organization here on campus called club med sp and we actually started last year  but last year it was founded by a different person  ummm although i was part of the like founding board  i guess you would say ummm and i guess last year  basically what happened was the person who founded it did it for her resume and she wasnt really invested in it umm and so basically last year was pretty much a flop  we did  we didnt accomplish much last year so this year has been trying to start over ummm as well as trying to take what kind of we felt what was wrong last year and really try to fix those pieces  yea umm that is a good question  umm i think  so freshman year ummm i participated in a program here called terescope sp and its a program that basically gives freshman a problem to solve ummm kind of like a world problem and so you are just kind of left on your own to solve it umm and our problem was solving world hunger so it is really like a problem that no one has actually solved  ummm  hmmm  so lets think  so that is a good question i think sometimes i have trouble working on a project when like  for example when i have too much time right so umm for example this summer i was working in dc ummm and i felt like when i wasnt given an exact dead line i didnt necessarily like push myself to work to get it done  because it wasnt  i didnt  have a dead line like i wasnt sure when i needed it to get done so i was like oh  that fine  okay i can do it later so i think one of my weaknesses i think it is pushing things off unless there is a deadline so i really have been trying setting internal deadlines for myself and trying to stick to those deadlines  and i think it is really hard  i think it is really hard when you have a lot of things to do to figure out how to prioritize and actually come through with the deadlines and i think that is really important skill throughout life so for example this week i have a lot of things due at the end of the week so trying to get at least a certain amount done by tuesday  and kind of like evaluating my progress throughout the week is something i have been trying to work on more  well  we will pretend this is the inaudible institute i am really interested in studying the intersection on nutrition and health  ummm especially in the kind of evaluating project area so recently i actually switched to economics  umm i was originally studying biology  but i felt that i could  that there is more to be done in economics in terms of helping people and i really would be excited to learn more about how food security and nutrition intersect and i would be very committed and willing to work as much as you needed me to  ,4.62732782069,0
p17,doing well how are you um  my name is stephie um  i am a junior here at mit um  and  see  im currently studying computer science  so  um im a six three  um  and  im here hoping to  you know  get in touch  and um  see if theres any opportunity for me over at google um  see hm  so last semester  um  i took a class in software constructions so its six doubleo five here and  um  throughout the semester we had  you know  many individual projects but  also  two group projects and  um  something ive noticed very much here at mit is that people dont like to take initiative and so  um  you know my we were doing out first group project  and um  you know  my my partners were pretty cool but no one seemed to want to arrange a time to meet up and actually get work done so i jumped in  and you know  shot shot out a few emails and made it work laugh how about that um  lets talk about that second group project in this class unfortunately  my  um  my group members in this  uh  for this project were not quite as awesome as the one before um  and  uh  for some reason  um  there were two guys  and  uh  they they were overriding my code in the repository so  um  theyve completely disregarded any work ive done even after id emailed them and told them hey  you know  there are tools to help resolve conflicts in code if were both working on the same thing and so eventually  i had to go to the ta and to the professor  went spoke to ann hunter and they helped me resolve the situation so  you know  sometimes you try your best in the situation and you really some things are out of your control but  um  usually people you can go to thanks um  see i lets see  i for the longest time  even when i was small  ive always been pretty quiet  so  um  and back in elementary school even uh  on my progress reports they would they would just say stephie is is this sweet girl laughs and then  you know  id get a mediocre grade for participation  stuff like that and so thats been an on going struggle for me  um  throughout my life but  um  people really arent as scary as  as sometimes i think they they seem to be  so its been going well um  see  uh well  ive ive taken classes with  um  with like  speaking components and presentations um  so its  its a way to get in my feet into the water but  um  its been a good experience  so hmm  i think that i have a lot to offer um  my skill set is  pretty good um  you know ive ive picked up a lot of skills here at mit and also on my own  um  through research here at mit and  you know  i think  i can be a valuable asset to  to ,4.52388447566,0
p20,good how are you um  so im a junior at mit im majoring in environmental engineering um  and so im taking classes this semester in hydrology  environmental transport um  ive done internships previously with environmental restoration companies and i also participated in research last summer um  id like to go to grad school after i graduate in environmental enginneering again um  so this semester i became president of the womens independent living group um  after being house manager last semester so ive worked through a lot of problems within the house in trying to kind of get the right atmosphere in the house um  so as house manager  um  i organized work week at the beginning of this year so its a time when  theres about 30 members in the house and everybody gets together and  um  works on the house  paints rooms  like fixes it up before the school year starts so i organized that  assigned jobs to people and facilitated that um  so im also on the rowing team and im not sure if this is exactly what youre looking for  but i guess  i was in the second boat last year and we were having a lot of problems throughout the season kind of like we would go to a race and we would be okay  but we werent performing up to our standards and so it was a big struggle for me to try and figure out how to kind of help turn the attitude around in the boat um  and we were finally able to pull it off in our very last race and we won the semifinals at patriot league so i think its the right mix of like knowing when to speak up say something and knowing what to say um  kind of by speaking up and letting people know not like putting people down  but letting people know that there was way more potential to be had um  one of my weaknesses  i tend to be  i guess  a little more withdrawn sometimes um  and thats something ive been working on like ive taken leadership in my house and as the rowing team  um  but i think something good about that is i tend to be a very good listener  um  i think im like extremely responsible um  i have a lot of experience and this is something that i think will help further my career goals and something im really excited about learning about and so ill put a lot of effort into this project ,3.7256960304,0
